BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;4162;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;4226;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2017;4221;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2018;4186;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2019;4216;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2020;4202;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2021;4277;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2022;4301;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;312;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;313;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;314;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;313;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;315;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2017;313;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2018;328;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2019;340;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2020;349;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2021;365;Anz.;Anzahl;
3211;Berg (SG);Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2022;386;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;885;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;894;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;905;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;903;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;912;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2017;911;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2018;914;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2019;937;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2020;949;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2021;959;Anz.;Anzahl;
3212;Eggersriet;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2022;965;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;4062;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;4104;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;4095;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;4061;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;4034;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2017;4037;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2018;4162;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2019;4295;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2020;4310;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2021;4353;Anz.;Anzahl;
3213;Goldach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2022;4385;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;1376;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;1378;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;1384;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;1379;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;1378;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2017;1395;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2018;1406;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2019;1461;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2020;1474;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2021;1474;Anz.;Anzahl;
3214;Mörschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2022;1486;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;4065;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;4167;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;4370;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;4403;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;4516;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2017;4589;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2018;4649;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2019;4672;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2020;4764;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2021;4738;Anz.;Anzahl;
3215;Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2022;4889;Anz.;Anzahl;
