"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Gebäudekategorie";"Anzahl Zimmer";"Bauperiode";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"......3201 Häggenschwil";"Einfamilienhäuser";"5 Zimmer";"1946-1960";4;4;4;4;4;4;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Einfamilienhäuser";"5 Zimmer";"1961-1970";1;1;1;1;1;1;2;2;2;2;2;2;2
"......3201 Häggenschwil";"Einfamilienhäuser";"5 Zimmer";"1971-1980";4;4;4;5;5;5;5;5;5;5;5;5;5
"......3201 Häggenschwil";"Einfamilienhäuser";"5 Zimmer";"1981-1990";7;7;8;7;7;7;8;8;8;8;8;8;8
"......3201 Häggenschwil";"Einfamilienhäuser";"5 Zimmer";"1991-2000";23;25;24;24;25;26;27;27;27;27;27;27;27
"......3201 Häggenschwil";"Einfamilienhäuser";"5 Zimmer";"2001-2005";4;4;4;4;4;4;4;4;4;4;4;4;4
"......3201 Häggenschwil";"Einfamilienhäuser";"5 Zimmer";"2006-2010";3;3;3;3;3;3;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Einfamilienhäuser";"5 Zimmer";"2011-2015";0;3;9;10;14;14;14;13;13;13;13;13;13
"......3201 Häggenschwil";"Einfamilienhäuser";"5 Zimmer";"2016-2022";0;0;0;0;0;0;0;2;2;5;5;5;6
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"Vor 1919";19;19;20;20;20;19;18;19;20;20;20;20;20
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"1919-1945";4;4;4;4;4;4;3;3;2;2;2;2;2
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"1946-1960";2;2;2;2;2;2;2;2;2;2;2;2;2
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"1961-1970";7;7;7;7;7;7;6;6;6;6;6;6;6
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"1971-1980";7;7;7;7;7;7;7;7;8;8;8;8;8
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"1981-1990";16;16;15;16;16;16;15;15;15;15;15;15;15
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"1991-2000";30;29;30;30;29;28;26;26;26;26;26;26;26
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"2006-2010";17;17;17;17;17;17;17;17;17;17;17;17;17
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"2011-2015";0;2;3;3;4;10;9;10;10;10;10;10;10
"......3201 Häggenschwil";"Einfamilienhäuser";"6+ Zimmer";"2016-2022";0;0;0;0;0;0;6;8;10;11;11;11;11
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"Vor 1919";0;0;0;0;0;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"1919-1945";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"1946-1960";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"1961-1970";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"1971-1980";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"1981-1990";2;2;2;2;2;2;2;2;2;2;2;2;2
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"1991-2000";1;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"2006-2010";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"2011-2015";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"1 Zimmer";"2016-2022";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"Vor 1919";6;6;6;6;6;7;7;6;6;6;6;6;6
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"1919-1945";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"1946-1960";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"1961-1970";2;2;2;2;2;2;2;2;2;2;2;2;2
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"1971-1980";1;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"1981-1990";8;8;8;8;8;8;8;8;8;8;8;8;8
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"1991-2000";5;5;5;5;5;5;5;5;5;5;5;5;5
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"2006-2010";1;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"2011-2015";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"2 Zimmer";"2016-2022";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"Vor 1919";12;12;11;11;11;12;12;12;12;11;11;11;12
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"1919-1945";0;0;0;0;0;0;0;0;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"1946-1960";0;0;0;0;0;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"1961-1970";4;4;4;4;4;4;4;4;4;4;4;4;4
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"1971-1980";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"1981-1990";6;6;6;6;6;6;6;6;6;6;6;6;6
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"1991-2000";18;18;18;18;18;18;18;18;18;18;18;18;18
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"2006-2010";3;3;3;3;3;3;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"2011-2015";0;0;0;0;2;4;4;4;4;4;4;4;4
"......3201 Häggenschwil";"Mehrfamilienhäuser";"3 Zimmer";"2016-2022";0;0;0;0;0;0;0;0;10;10;10;10;10
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"Vor 1919";7;7;6;6;6;6;6;6;7;7;7;8;10
"......3201 Häggenschwil";"Mehrfamilienhäuser";"4 Zimmer";"1919-1945";0;0;0;0;0;0;0;0;0;0;0;0;0
